confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
166.0	248	9	129	359	20491	244763	2.7829457364341086
166.0	269	1	56	95	1794	15666	1.6964285714285714
166.0	270	1	47	1	1298	12347	0.02127659574468085
166.0	270	3	99	3	2746	30869	0.030303030303030304
166.0	270	5	33	101	1114	10875	3.0606060606060606
166.0	270	8	5	4	1398	10778	0.8
166.0	270	10	32	94	816	7681	2.9375
166.0	270	12	51	2	1194	12383	0.0392156862745098
166.0	272	2	92	175	5222	65534	1.9021739130434783
166.0	272	6	55	3	1987	16764	0.05454545454545454
166.0	273	1	47	2	2557	21694	0.0425531914893617
166.0	273	3	68	127	2369	15642	1.8676470588235294
166.0	273	4	48	141	1765	15834	2.9375
166.0	273	35	12	49	274	1498	4.083333333333333
166.0	275	2	11	3	383	2742	0.2727272727272727
166.0	275	3	106	3	5400	83833	0.02830188679245283
166.0	275	9	69	3	3030	48108	0.043478260869565216
166.0	275	23	40	2	1565	22743	0.05
166.0	275	30	89	2	5203	47593	0.02247191011235955
166.0	276	1	92	191	5097	70675	2.0760869565217392
166.0	276	2	3	3	502	2982	1.0
166.0	276	44	27	86	560	4622	3.185185185185185
166.0	277	1	5	6	1908	8913	1.2
166.0	277	2	77	226	4581	67176	2.935064935064935
166.0	278	1	135	2	13263	253814	0.014814814814814815
166.0	278	8	26	4	316	2532	0.15384615384615385
166.0	278	35	54	3	2467	42901	0.05555555555555555
166.0	279	3	28	3	670	4107	0.10714285714285714
166.0	279	4	67	191	3204	50239	2.8507462686567164
166.0	279	7	45	1	545	3895	0.022222222222222223
166.0	279	9	77	195	3155	40965	2.5324675324675323
166.0	279	13	5	1	256	1489	0.2
166.0	280	1	9	4	302	1816	0.4444444444444444
166.0	280	2	206	332	9382	87897	1.6116504854368932
166.0	280	3	1	1	425	2509	1.0
166.0	280	6	34	5	427	2504	0.14705882352941177
166.0	280	9	2	43	400	2555	21.5
166.0	280	11	158	3	2507	21643	0.0189873417721519
166.0	280	19	45	5	258	1631	0.1111111111111111
166.0	281	1	3	3	216	1867	1.0
166.0	281	3	4	2	278	2107	0.5
166.0	281	4	181	330	17716	357312	1.8232044198895028
166.0	281	62	41	153	1270	12859	3.731707317073171
166.0	283	1	20	2	498	2457	0.1
166.0	287	1	19	3	656	8951	0.15789473684210525
166.0	287	3	462	1	22026	726572	0.0021645021645021645
166.0	287	14	68	4	3499	77802	0.058823529411764705
35.0	300	1	2	3	493	4935	1.5
35.0	301	2	4	1	1534	20952	0.25
35.0	301	11	19	3	674	7670	0.15789473684210525
35.0	302	1	54	2	2466	33226	0.037037037037037035
35.0	302	7	24	51	532	5268	2.125
35.0	304	2	32	2	1066	12322	0.0625
35.0	304	7	2	2	497	4970	1.0
35.0	304	13	36	1	527	5248	0.027777777777777776
35.0	305	1	47	2	1537	15665	0.0425531914893617
35.0	305	4	48	1	1475	16039	0.020833333333333332
35.0	305	9	3	2	769	8691	0.6666666666666666
35.0	305	14	36	3	605	5803	0.08333333333333333
35.0	306	3	15	10	214	2438	0.6666666666666666
35.0	306	9	33	1	508	4669	0.030303030303030304
35.0	307	4	41	1	1687	19829	0.024390243902439025
35.0	307	5	4	3	263	2782	0.75
35.0	307	13	3	1	1073	10557	0.3333333333333333
35.0	307	35	25	68	771	9883	2.72
35.0	308	1	17	3	400	4184	0.17647058823529413
35.0	308	7	16	1	1275	17659	0.0625
35.0	308	8	38	2	1377	16509	0.05263157894736842
35.0	308	62	17	1	259	2495	0.058823529411764705
35.0	309	1	8	1	334	3019	0.125
35.0	309	35	1	2	953	10237	2.0
35.0	310	3	5	3	1229	12570	0.6
35.0	310	6	3	2	207	1840	0.6666666666666666
35.0	310	7	4	3	341	3674	0.75
35.0	310	9	31	2	424	4295	0.06451612903225806
35.0	310	47	1	2	305	2977	2.0
35.0	311	2	13	5	451	4974	0.38461538461538464
35.0	311	8	4	4	300	3013	1.0
35.0	311	9	25	2	837	7484	0.08
35.0	312	2	1	3	381	4396	3.0
35.0	312	7	1	3	380	4391	3.0
35.0	312	9	33	1	1379	15505	0.030303030303030304
35.0	313	1	36	5	348	2860	0.1388888888888889
35.0	313	3	33	1	1666	18325	0.030303030303030304
35.0	313	6	6	3	344	3815	0.5
35.0	313	71	4	1	391	3845	0.25
35.0	315	1	3	2	409	4425	0.6666666666666666
35.0	316	2	2	4	393	4115	2.0
35.0	316	25	3	3	275	2882	1.0
35.0	316	29	16	1	311	3202	0.0625
35.0	317	1	3	3	300	2711	1.0
35.0	317	2	129	297	5802	107982	2.302325581395349
35.0	318	2	11	4	209	2135	0.36363636363636365
35.0	318	4	1	2	393	4469	2.0
35.0	318	9	36	200	3421	40013	5.555555555555555
35.0	341	1	31	2	467	5258	0.06451612903225806
35.0	342	1	45	2	876	12326	0.044444444444444446
35.0	344	1	61	1	3277	43611	0.01639344262295082
35.0	345	1	18	3	262	2331	0.16666666666666666
35.0	346	1	37	3	1380	17266	0.08108108108108109
35.0	346	4	57	139	1967	34132	2.43859649122807
35.0	348	1	44	3	2097	30968	0.06818181818181818
35.0	349	3	58	3	1158	16950	0.05172413793103448
35.0	349	4	66	145	1744	29257	2.196969696969697
35.0	349	6	54	137	1378	13807	2.537037037037037
35.0	350	1	5	2	1849	33951	0.4
35.0	350	3	2	2	1541	22927	1.0
35.0	351	1	40	195	3394	60527	4.875
35.0	352	1	62	1	2673	51107	0.016129032258064516
35.0	352	3	2	3	1896	30191	1.5
35.0	352	5	34	3	874	10319	0.08823529411764706
35.0	352	9	2	3	1841	27044	1.5
35.0	352	19	80	147	3035	37613	1.8375
35.0	353	1	4	2	3971	83460	0.5
35.0	353	6	49	2	1831	27026	0.04081632653061224
35.0	353	8	88	202	2492	36706	2.2954545454545454
35.0	355	1	55	213	3015	54665	3.8727272727272726
35.0	356	2	200	3	15114	473188	0.015
35.0	356	28	7	5	226	3064	0.7142857142857143
35.0	356	31	19	1	977	15866	0.05263157894736842
35.0	356	52	67	166	2274	42457	2.4776119402985075
35.0	359	1	93	7	4181	67974	0.07526881720430108
35.0	360	1	257	361	15942	412742	1.404669260700389
35.0	360	2	40	1	717	9219	0.025
35.0	360	3	48	4	295	4085	0.08333333333333333
35.0	361	1	74	1	5784	144689	0.013513513513513514
35.0	361	4	27	6	456	4752	0.2222222222222222
78.0	371	1	1	3	340	4492	3.0
